"","child_brand","num_label","Code","Parent_Brand"
"127","SEAGRAMS",626,"251","SEAGRAMS"
"128","SHASTA",627,"252","SHASTA"
"129","SIERRA MIST",628,"253","SIERRA MIST"
"130","SIERRA MIST CRANBERRY SPLASH",629,"253","SIERRA MIST"
"131","SIERRA MIST NATURAL",630,"253","SIERRA MIST"
"132","SILVER SPRING",631,"254","SILVER SPRING"
"133","SIOUX CITY",632,"255","SIOUX CITY"
"134","SPRECHER",633,"256","SPRECHER"
"135","SPRITE",634,"257","SPRITE"
"136","SPRITE ZERO",635,"257","SPRITE"
"137","SQUIRT",636,"258","SQUIRT"
"138","STEAZ",637,"259","STEAZ"
"139","STEWARTS",638,"260","STEWARTS"
"140","STEWARTS FOUNTAIN CLASSICS",639,"260","STEWARTS"
"141","SUN DROP",640,"261","SUN DROP"
"142","SUNKIST",641,"262","SUNKIST"
"143","TAB",642,"263","TAB"
"144","TAHITIAN TREAT",643,"264","TAHITIAN TREAT"
"145","TEDDYS",644,"265","TEDDYS"
"146","VERNORS",645,"266","VERNORS"
"147","VINTAGE",646,"267","VINTAGE"
"148","VIRGILS",647,"268","VIRGILS"
"149","WAIST WATCHER",648,"269","WAIST WATCHER"
"150","WELCHS",649,"270","WELCHS"
"151","WHITE ROCK",650,"271","WHITE ROCK"
"152","WILD CHERRY PEPSI",651,"239","PEPSI"
"153","ZEVIA",652,"272","ZEVIA"
